Id;Idade;Sexo;Estado Civil;Sinistros;Prêmio;Categoria;Desconto
1;64;M;viuvo;0;774.464232292113;Sênior;697.0178090629017
2;34;F;divorciado;7;1411.8008967005464;Adulto;1411.8008967005464
3;84;F;divorciado;2;803.9227421347719;Sênior;803.9227421347719
4;42;F;casado;2;1142.0055762266197;Adulto;1142.0055762266197
5;20;M;casado;;940.0511369228986;Jovem;940.0511369228986
6;49;M;viuvo;0;962.2752998619331;Sênior;866.0477698757398
7;30;M;casado;4;1053.4384867512756;Jovem;1053.4384867512756
8;72;F;divorciado;1;987.8269604164574;Sênior;987.8269604164574
9;97;F;divorciado;;758.4942587106043;Sênior;758.4942587106043
10;101;M;viuvo;6;1205.8696921784492;Sênior;1205.8696921784492
11;59;M;divorciado;4;871.2305371479586;Sênior;871.2305371479586
12;52;F;casado;1;1281.7520304331517;Sênior;1281.7520304331517
13;78;F;viuvo;5;958.3093768801078;Sênior;958.3093768801078
14;40;F;casado;6;1439.4367626076935;Adulto;1439.4367626076935
15;46;M;viuvo;;1071.5629133476566;Sênior;1071.5629133476566
16;19;F;solteiro;3;587.4027145271994;Jovem;587.4027145271994
17;53;M;casado;3;977.3787224014767;Sênior;977.3787224014767
18;79;M;casado;3;1098.567429305939;Sênior;1098.567429305939
19;107;M;divorciado;6;899.2568625822203;Sênior;899.2568625822203
20;55;F;divorciado;1;781.8738432099008;Sênior;781.8738432099008
21;44;F;casado;2;1088.549559583759;Adulto;1088.549559583759
22;109;F;solteiro;0;604.87765940823;Sênior;544.389893467407
23;92;M;casado;4;942.1254896013476;Sênior;942.1254896013476
24;18;F;viuvo;2;1159.796590651496;Jovem;1159.796590651496
25;50;F;solteiro;5;1299.887759407456;Sênior;1299.887759407456
26;104;F;solteiro;3;920.7865665004134;Sênior;920.7865665004134
27;52;M;viuvo;5;1071.048585026917;Sênior;1071.048585026917
28;28;M;solteiro;6;892.1102579360161;Jovem;892.1102579360161
29;79;F;solteiro;0;1236.3663686353382;Sênior;1112.7297317718044
30;52;F;casado;2;919.739764555462;Sênior;919.739764555462
31;32;M;divorciado;5;1261.1414299197368;Adulto;1261.1414299197368
32;86;M;divorciado;3;952.2687372472227;Sênior;952.2687372472227
33;96;F;viuvo;1;1120.0863247642305;Sênior;1120.0863247642305
34;48;M;viuvo;7;1091.6780623036761;Sênior;1091.6780623036761
35;29;M;solteiro;5;1284.385077777418;Jovem;1284.385077777418
36;59;M;solteiro;7;1026.257401821982;Sênior;1026.257401821982
37;69;F;viuvo;4;773.5251685836238;Sênior;773.5251685836238
38;80;M;divorciado;0;933.6018045408109;Sênior;840.2416240867299
39;46;F;viuvo;0;767.9351376533562;Sênior;691.1416238880206
40;98;M;viuvo;3;1097.8128524850258;Sênior;1097.8128524850258
41;82;F;casado;5;1216.1293869976716;Sênior;1216.1293869976716
42;21;F;solteiro;3;1209.9283484157947;Jovem;1209.9283484157947
43;38;M;solteiro;5;980.0793847122079;Adulto;980.0793847122079
44;106;F;viuvo;7;1046.5944868917834;Sênior;1046.5944868917834
45;75;M;solteiro;4;912.2467717331982;Sênior;912.2467717331982
46;20;F;viuvo;3;1241.4166790106526;Jovem;1241.4166790106526
47;23;M;solteiro;1;891.2210586143129;Jovem;891.2210586143129
48;24;M;divorciado;6;824.7553431655426;Jovem;824.7553431655426
49;84;F;divorciado;3;707.471869309459;Sênior;707.471869309459
50;90;F;divorciado;1;790.4301823657197;Sênior;790.4301823657197
51;91;M;divorciado;4;910.946813401157;Sênior;910.946813401157
52;105;F;viuvo;5;709.6509244893073;Sênior;709.6509244893073
53;42;M;viuvo;0;1383.254111903863;Adulto;1244.9287007134767
54;24;M;casado;2;1140.82081756293;Jovem;1140.82081756293
55;76;M;viuvo;;1166.9739917257223;Sênior;1166.9739917257223
56;69;M;divorciado;2;794.3606052345507;Sênior;794.3606052345507
57;84;M;divorciado;1;894.2858076335372;Sênior;894.2858076335372
58;82;F;viuvo;5;1007.4252179729834;Sênior;1007.4252179729834
59;33;M;solteiro;7;1177.5430921667205;Adulto;1177.5430921667205
60;63;M;viuvo;5;1022.6998011603655;Sênior;1022.6998011603655
61;52;M;casado;0;1077.2556280968856;Sênior;969.5300652871971
62;43;F;viuvo;4;597.1668885206568;Adulto;597.1668885206568
63;101;M;casado;2;1038.0880629961882;Sênior;1038.0880629961882
64;71;F;divorciado;6;1188.0636618570431;Sênior;1188.0636618570431
65;67;F;divorciado;5;806.5864032667978;Sênior;806.5864032667978
66;50;M;viuvo;7;1043.6421433295611;Sênior;1043.6421433295611
67;80;M;divorciado;0;504.4454381783047;Sênior;454.00089436047426
68;62;F;casado;4;913.403265314333;Sênior;913.403265314333
69;44;M;casado;2;1031.2296868284395;Adulto;1031.2296868284395
70;78;F;viuvo;6;1075.1613453314326;Sênior;1075.1613453314326
71;96;F;casado;6;1248.3543065378458;Sênior;1248.3543065378458
72;92;F;casado;6;867.1785772136093;Sênior;867.1785772136093
73;31;F;solteiro;5;841.8215190514242;Adulto;841.8215190514242
74;69;M;solteiro;6;1036.366635482414;Sênior;1036.366635482414
75;80;M;viuvo;5;1055.0792897394902;Sênior;1055.0792897394902
76;70;F;divorciado;7;1280.5171460572997;Sênior;1280.5171460572997
77;62;M;casado;6;820.012394946873;Sênior;820.012394946873
78;96;M;casado;0;1077.9240855777318;Sênior;970.1316770199587
79;27;F;solteiro;1;688.9298382204463;Jovem;688.9298382204463
80;83;M;solteiro;7;1118.6234553211702;Sênior;1118.6234553211702
81;104;F;viuvo;0;1162.7873871743825;Sênior;1046.5086484569442
82;54;F;casado;5;894.7807031922601;Sênior;894.7807031922601
83;28;F;divorciado;6;1142.4901919269587;Jovem;1142.4901919269587
84;55;F;divorciado;2;1077.6374321760763;Sênior;1077.6374321760763
85;56;F;viuvo;3;955.3458585385856;Sênior;955.3458585385856
86;84;M;solteiro;7;834.5785171280866;Sênior;834.5785171280866
87;62;F;viuvo;6;1171.9135744099826;Sênior;1171.9135744099826
88;62;F;solteiro;4;1240.0308189707378;Sênior;1240.0308189707378
89;59;F;viuvo;5;1157.2569143100968;Sênior;1157.2569143100968
90;92;F;divorciado;;1326.8306207558262;Sênior;1326.8306207558262
91;37;F;divorciado;4;1392.8740072623627;Adulto;1392.8740072623627
92;66;M;viuvo;0;901.6610690002541;Sênior;811.4949621002287
93;44;F;viuvo;4;1261.7207561102857;Adulto;1261.7207561102857
94;31;M;solteiro;4;1045.5040246660867;Adulto;1045.5040246660867
95;30;M;divorciado;3;1053.659289388606;Jovem;1053.659289388606
96;67;F;casado;0;738.1222479915037;Sênior;664.3100231923534
97;19;M;divorciado;0;1045.9067822666243;Jovem;993.6114431532931
98;62;M;casado;5;989.0379875692288;Sênior;989.0379875692288
99;100;M;viuvo;4;1190.8461352208278;Sênior;1190.8461352208278
100;27;M;divorciado;4;1088.5419276242617;Jovem;1088.5419276242617
101;84;F;divorciado;6;1007.8758888697427;Sênior;1007.8758888697427
102;64;M;casado;2;1164.688818957557;Sênior;1164.688818957557
103;104;M;divorciado;5;897.3904411142314;Sênior;897.3904411142314
104;66;F;viuvo;7;915.9972966302623;Sênior;915.9972966302623
105;23;F;casado;1;1560.243164853263;Jovem;1560.243164853263
106;32;F;solteiro;;695.5258180012977;Adulto;695.5258180012977
107;35;M;viuvo;;1348.0369950883185;Adulto;1348.0369950883185
108;49;F;casado;4;1106.1589395156248;Sênior;1106.1589395156248
109;34;M;casado;1;967.1398646429949;Adulto;967.1398646429949
110;82;F;solteiro;6;1213.2608438621758;Sênior;1213.2608438621758
