CONCLIENTE,dataNascimentoCliente,sexoCliente,CONINSCRICAO,CONPRODUTO,periodicidadeCobranca,parcelamento,CONITEMCONTRATADO,codigoSistemaItemContratado,dataInicioVigenciaCobertura,prazoContribuicao,prazoCobertura,prazoDecrescimoItemContratado,prazoCertoRendaItemContratado,prazoMinimoGarantidoRendaItemContratado,indiceReajusteItemContratado,valorCapitalSeguradoItemContratadoInicial,CONITEMCONTRATADOBENEFICIARIO,percentualParticipacaoBeneficio,CONBENEFICIARIO,dataNascimentoBeneficiario,sexoBeneficiario
1750926,1977-10-06,M,16013091,895,MENSAL,1,94352363,203045,2022-01-06,15,9999,,,,IPCA,100000.0,1840596.0,30.0,3616260.0,2006-04-14,FEMININO
1750926,1977-10-06,M,16013091,895,MENSAL,1,94352363,203045,2022-01-06,15,9999,,,,IPCA,100000.0,1840697.0,40.0,3616259.0,1976-05-29,FEMININO
1750926,1977-10-06,M,16013091,895,MENSAL,1,94352363,203045,2022-01-06,15,9999,,,,IPCA,100000.0,1841208.0,30.0,3616261.0,1997-11-25,MASCULINO
4300961,1957-04-15,M,16010702,895,MENSAL,1,94352382,203045,2022-01-06,9999,9999,,,,IPCA,50000.0,1841180.0,100.0,3475459.0,1965-09-15,NÃO INFORMADO
3073128,1964-11-15,M,16013359,895,MENSAL,1,94352411,203045,2022-01-11,15,9999,,,,IPCA,342179.29,,,,,
7488418,1963-03-05,F,16012274,1072,MENSAL,1,94352479,204377,2022-01-06,10,10,,,,IPCA,400000.0,1848767.0,25.0,3615870.0,1983-05-21,MASCULINO
7488418,1963-03-05,F,16012274,1072,MENSAL,1,94352479,204377,2022-01-06,10,10,,,,IPCA,400000.0,1848819.0,25.0,3615868.0,1994-07-24,MASCULINO
7488418,1963-03-05,F,16012274,1072,MENSAL,1,94352479,204377,2022-01-06,10,10,,,,IPCA,400000.0,1848870.0,25.0,3615871.0,1991-02-03,MASCULINO
7488418,1963-03-05,F,16012274,1072,MENSAL,1,94352479,204377,2022-01-06,10,10,,,,IPCA,400000.0,1849073.0,25.0,3615869.0,1958-02-01,NÃO INFORMADO
7500705,1972-12-06,M,16029621,895,MENSAL,1,94633304,203045,2022-01-14,9999,9999,,,,IPCA,76124.27,,,,,
7497354,1988-06-26,F,16028477,895,MENSAL,1,94633305,203045,2022-01-04,15,9999,,,,IPCA,63000.0,1862626.0,100.0,3617233.0,1991-08-04,MASCULINO
1436233,1980-03-14,F,16066520,1072,MENSAL,1,94633410,204377,2022-01-15,20,20,,,,IPCA,1000000.0,,,,,
2700079,1966-05-20,F,16028390,1072,MENSAL,1,94633417,204377,2022-01-06,10,10,,,,IPCA,400000.0,1842873.0,34.0,26026.0,1991-02-07,MASCULINO
2700079,1966-05-20,F,16028390,1072,MENSAL,1,94633417,204377,2022-01-06,10,10,,,,IPCA,400000.0,1843218.0,33.0,26119.0,1992-05-11,MASCULINO
2700079,1966-05-20,F,16028390,1072,MENSAL,1,94633417,204377,2022-01-06,10,10,,,,IPCA,400000.0,1843421.0,33.0,26120.0,2004-06-06,MASCULINO
2312553,1986-03-29,F,16066543,1072,MENSAL,1,94633660,204377,2022-01-02,30,30,,,,IPCA,1100000.0,1856322.0,80.0,3617688.0,1987-09-11,MASCULINO
2312553,1986-03-29,F,16066543,1072,MENSAL,1,94633660,204377,2022-01-02,30,30,,,,IPCA,1100000.0,1856526.0,20.0,3617689.0,2003-09-21,MASCULINO
7503154,1983-03-04,F,16069780,1072,MENSAL,1,94648065,204377,2022-01-06,30,30,,,,IPCA,400000.0,,,,,
7502888,1965-03-11,F,16069524,1072,MENSAL,1,94648316,204377,2022-01-06,10,10,,,,IPCA,500000.0,1878928.0,50.0,3618132.0,1987-11-30,MASCULINO
